aling អាលីង
bab បែប
ban បាន
banh បាញ់
bat បាទ
bay បាយ
bon បុណ្យ
bong បង
bonghos បង្ហោះ
borng បង់
chea ជា
chnoat ឆ្នោត
dak ដាក់
deak ដេក
del ដែរ
del ដែល
denh ដេញ
der ដើរ
dermbey ដើម្បី
derng ដឹង
dos ដោះ
ey អី
hat ហាត់
hean ហ៊ាន
hov ហើយ
hun ហ៊ុន
jol ចូល
jom ចំ
jouy ជួយ
jren ច្រើន
jub ជួប
jum ជុំ
jun ជូន
juy ចុយ
kaeb កែប
kaep កែប
kaet ខេត្ត
kam កម្ម
ke គេ
keang គេង
kerg ឃើញ
kernh ឃើញ
knea គ្នា
knhom ខ្ញុំ
knong ក្នុង
koam កុំ
koan កុន
kob កប់
kom កុំ
kon កុន
kroam ក្រុម
krob គ្រប់
kval ខ្វាយ
kvol ខ្វល់
las លះ
leng លេង
ler លឺ
lerk លើក
luy លុយ
mak ម៉ាក់
man មែន
merl មើល
min មិន
mnus មនុស្ស
moha មហា
mok មក
mong ម៉ង
mong ហ្មង
mot មាត់
mout មាត់
mut មាត់
muy មួយ
nak នាក់
nak អ្នក
neng នឹង
nerk នឹក
nerng នឹង
ngeay ងាយ
nham ញាំ
nhom ខ្ញុំ
nis នេះ
nom នាំ
nov នៅ
nov នៅ
nyeay និយាយ
ongkun អង្គុយ
orkun អរគុណ
ory អោយ
os អស់
oun អូន
oy អោយ
oy ឲ
pa ប៉ា
phei ភ័យ
phong ផង
phos បង្ហោះ
pipor ពិព័ណ៏
pong ផង
poun ប្អូន
reap រៀប
rok រក
rongvon រង្វាន់
ros រស់
rum រួម
rut រត់
saart ស្អាត់
sala សាលា
sart ស្អាត់
sdey ស្តី
seri សេរី
slanh ស្រលាញ់
smut សមុទ្ទ
somnang សំណាង
srey ស្រី
srolanh ស្រលាញ់
sur សួរ
sursdey សួរស្តី
svamey ស្វាមី
tang តាំង
te ទេ
tgai ថ្ងៃ
tha ថា
ti ទី
ti ទី
ti ទី
tos តោះ
tos តោះ
tot ថត
tousana ទស្សនា
tov ទៅ
tver ធ្វើ
vai វៃ
vithi វិធី
yang យ៉ាង
yerg យើង
yerng យើង
yok យក
york យក
